Altium Designer Pick and Place Locations
C:\Dott\LIDO\lido-hardware\LIDO_HW_2022_04_V01\Output Documents\04_Fabrication_Files\PickAndPlace\LIDO_V03_DEVELOPMENT_04_07_2022.txt

========================================================================================================================
File Design Information:

Date:       02/07/22
Time:       21:35
Revision:   872b464fc55dbc7c29d34195fc9c3aeae9c73039
Variant:    DEVELOPMENT
Units used: mm

Designator Layer       Footprint                                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               "Manufacturer Part Number"         Manufacturer                        
R216       TopLayer    RES_0402_1005X40-N_YAGEO_A                    15.4005      24.2000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R215       TopLayer    RES_0402_1005X40-N_YAGEO_A                    16.4008      24.2000      270      "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R214       TopLayer    RES_0402_1005X40-N_YAGEO_A                    23.6000      12.4000      180      "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R213       BottomLayer RES_0402_1005X40-N_YAGEO_A                    24.3000      17.7000      0        "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R212       TopLayer    RES_0402_1005X40-N_YAGEO_A                    23.6000      11.4000      180      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R211       TopLayer    RES_0402_1005X40-N_YAGEO_A                    23.6000      18.0010      0        "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R210       TopLayer    RES_0402_1005X40-N_YAGEO_A                    23.6000      10.5000      180      "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R209       TopLayer    RES_0402_1005X40-N_YAGEO_A                    18.0000      10.2000      90       "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R208       BottomLayer RES_0402_1005X40-N_YAGEO_A                    10.1000      23.3000      180      "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R207       TopLayer    RES_0402_1005X40-N_YAGEO_A                    17.0000      10.2000      90       "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
